property_type,inspections_opendate,inspections_closeddate,date_num,violation
Residential Care,2022-11-02,2024-03-25,1413,1
High Rise,2021-11-24,2024-09-09,1375,0
High Rise,2020-09-10,2024-04-10,1399,1
Group Home,2021-05-22,2024-09-11,1288,0
Rooming House,2024-08-13,2024-04-25,1542,0
Detention,2023-11-13,2024-01-26,561,0
Group Home,2022-04-18,2024-09-12,264,0
High Rise,2024-01-26,2024-07-08,1667,1
Hotel & Motel,2022-03-30,2024-07-16,735,1
Low Rise,2020-10-13,2024-01-28,638,1
Group Home,2021-01-22,2024-03-20,1130,0
Rooming House,2020-11-04,2024-06-17,84,1
Hospital,2020-02-11,2024-07-04,1013,0
Group Home (VO),2020-05-25,2024-02-01,154,0
Detention,2021-09-08,2024-06-28,637,1
Detention,2023-02-18,2024-07-15,474,1
Low Rise,2020-07-03,2024-09-18,1541,0
Nursing Home,2021-06-11,2024-01-09,1036,1
Group Home,2022-07-26,2024-11-14,1601,1
Rooming House,2024-09-26,2024-05-03,280,0
Rooming House,2022-11-02,2024-07-17,271,0
Residential Care,2021-01-28,2024-06-13,1269,0
Hotel & Motel,2024-10-23,2024-07-06,1152,0
Group Home (VO),2021-04-15,2024-09-06,1207,0
Detention,2023-07-12,2024-04-26,41,1
Group Home (VO),2024-04-13,2024-05-14,974,1
Hospital,2021-04-07,2024-09-23,1579,0
Group Home,2023-07-25,2024-10-26,212,1
Detention,2021-06-10,2024-02-04,301,1
Hotel & Motel,2021-06-27,2024-02-14,231,0
Residential Care,2023-10-03,2024-06-26,267,0
Nursing Home,2023-03-27,2024-03-19,339,1
Hospital,2024-07-03,2024-06-27,1360,1
Low Rise,2019-09-11,2024-03-17,37,1
Nursing Home,2021-07-26,2024-01-10,825,0
Group Home,2023-02-03,2024-08-15,815,0
Low Rise,2019-07-17,2024-09-10,614,0
Low Rise,2024-11-01,2024-07-29,373,1
Hospital,2022-03-19,2024-08-18,1543,0
Detention,2022-05-29,2024-07-20,379,1
Rooming House,2022-02-26,2024-02-06,696,0
Detention,2021-07-16,2024-07-27,1524,1
Low Rise,2022-09-07,2024-06-01,1344,1
Hospital,2019-07-16,2024-09-18,14,1
Group Home (VO),2021-10-24,2024-02-15,1139,0
Low Rise,2019-12-19,2024-09-02,1074,1
Hotel & Motel,2021-04-24,2024-07-14,1281,1
Nursing Home,2022-03-26,2024-05-29,1095,0
Group Home (VO),2021-05-12,2024-03-12,1678,0
Rooming House,2019-12-30,2024-10-28,1058,1
Group Home (VO),2019-12-16,2024-08-03,865,1
High Rise,2023-08-29,2024-05-01,890,0
Residential Care,2021-12-25,2024-05-22,234,0
Hotel & Motel,2023-01-28,2024-03-22,1018,0
Detention,2021-03-02,2024-01-24,414,0
Rooming House,2021-11-09,2024-08-16,384,1
High Rise,2020-10-14,2024-11-08,1394,1
High Rise,2023-05-24,2024-10-31,655,1
Group Home,2020-01-24,2024-01-07,609,0
Residential Care,2021-03-06,2024-04-22,396,0
Rooming House,2019-11-27,2024-03-20,156,0
Hospital,2023-12-28,2024-09-28,380,0
Low Rise,2022-02-02,2024-10-10,277,0
Low Rise,2020-05-14,2024-04-12,753,0
Group Home (VO),2022-05-31,2024-10-31,1053,1
Group Home (VO),2021-11-23,2024-06-15,876,1
Detention,2020-02-06,2024-10-25,80,0
Hospital,2022-02-06,2024-05-15,1358,0
Hotel & Motel,2019-12-28,2024-04-01,1436,0
Low Rise,2021-09-07,2024-11-19,1574,1
Group Home,2024-03-04,2024-08-04,489,0
Nursing Home,2022-11-17,2024-06-29,1250,1
Detention,2020-12-17,2024-05-05,1104,1
High Rise,2021-09-30,2024-06-17,152,0
Group Home,2021-03-05,2024-03-08,1452,0
Hospital,2022-05-01,2024-11-10,555,1
Low Rise,2022-11-29,2024-02-15,598,1
High Rise,2020-03-19,2024-11-26,337,1
Detention,2023-10-19,2024-03-14,290,1
Nursing Home,2024-09-09,2024-10-03,543,0
Group Home,2024-09-30,2024-07-16,1262,1
High Rise,2023-02-22,2024-04-27,1311,1
High Rise,2021-12-18,2024-04-07,1074,0
Group Home (VO),2020-11-15,2024-08-30,1207,0
Group Home (VO),2024-04-03,2024-01-31,409,0
Nursing Home,2022-09-08,2024-10-29,686,0
Hospital,2024-08-16,2024-05-19,638,1
Nursing Home,2020-07-23,2024-05-16,1637,0
Hotel & Motel,2024-04-04,2024-09-24,1645,1
Hotel & Motel,2021-02-18,2024-04-05,465,0
Hospital,2024-04-08,2024-06-21,244,0
Group Home (VO),2024-06-09,2024-10-05,1303,1
Residential Care,2024-07-07,2024-08-31,1107,1
Group Home,2023-05-26,2024-07-24,1447,0
Group Home (VO),2022-02-25,2024-05-26,525,0
High Rise,2023-03-10,2024-10-12,508,1
Rooming House,2023-03-24,2024-07-15,1390,0
Nursing Home,2021-12-30,2024-10-17,312,0
Detention,2021-01-25,2024-10-12,1147,1
Group Home (VO),2023-12-12,2024-03-27,670,0
Group Home (VO),2021-07-30,2024-03-09,1071,0
Group Home,2023-10-04,2024-01-29,17,0
Group Home (VO),2021-05-13,2024-10-17,1319,0
Low Rise,2021-07-17,2024-01-27,24,1
Residential Care,2023-05-02,2024-11-17,1603,1
Group Home (VO),2024-08-14,2024-10-25,866,0
High Rise,2024-02-03,2024-07-11,356,0
High Rise,2019-09-09,2024-09-15,1285,1
Nursing Home,2023-11-09,2024-09-09,1263,1
Group Home (VO),2024-08-07,2024-02-07,996,1
High Rise,2019-12-23,2024-01-04,466,1
Detention,2019-12-16,2024-02-01,1446,1
Low Rise,2021-09-25,2024-04-03,464,1
Nursing Home,2021-12-01,2024-03-13,557,0
Detention,2024-03-31,2024-05-01,742,1
Hospital,2019-10-02,2024-07-28,579,0
Group Home (VO),2020-02-06,2024-02-13,1156,0
Group Home,2023-04-23,2024-06-04,1138,1
Nursing Home,2020-12-10,2024-07-23,656,1
Group Home,2022-09-16,2024-10-11,111,0
Rooming House,2023-11-05,2024-09-29,1669,1
Residential Care,2023-12-04,2024-03-03,1482,0
Group Home (VO),2021-07-16,2024-11-17,997,1
Detention,2021-04-29,2024-09-21,472,1
Group Home (VO),2022-03-03,2024-08-15,1300,1
Hotel & Motel,2021-09-09,2024-09-14,257,0
Residential Care,2023-06-03,2024-04-19,502,0
Nursing Home,2024-01-29,2024-10-18,640,1
Hospital,2024-11-10,2024-08-26,1663,0
Residential Care,2024-07-31,2024-04-14,1571,1
Detention,2023-08-31,2024-05-06,1402,1
Detention,2023-02-17,2024-07-28,782,1
Nursing Home,2024-10-18,2024-06-18,78,0
Low Rise,2022-11-14,2024-02-03,909,0
Low Rise,2020-04-15,2024-02-29,1525,1
Rooming House,2020-02-29,2024-04-30,651,1
Detention,2024-07-31,2024-10-07,1582,1
Residential Care,2023-03-14,2024-08-03,137,0
Hospital,2021-04-11,2024-11-10,1551,1
Low Rise,2023-09-29,2024-06-19,774,0
Detention,2022-03-27,2024-03-23,748,1
Low Rise,2023-05-27,2024-09-03,1221,0
Low Rise,2023-06-24,2024-08-11,1060,1
Hospital,2024-11-17,2024-04-08,1294,0
High Rise,2023-11-13,2024-04-17,1151,0
Nursing Home,2024-04-13,2024-05-17,516,0
Group Home (VO),2023-05-09,2024-02-29,1115,0
Residential Care,2021-04-06,2024-02-23,738,0
Detention,2021-10-31,2024-08-05,145,0
Detention,2019-09-01,2024-11-23,1632,1
Low Rise,2023-08-05,2024-03-08,304,1
High Rise,2021-12-21,2024-08-31,933,1
Nursing Home,2019-12-20,2024-11-02,175,1
Nursing Home,2023-08-04,2024-07-19,416,0
Hotel & Motel,2021-09-15,2024-03-20,1603,1
Nursing Home,2021-03-06,2024-02-18,467,1
Rooming House,2023-07-27,2024-07-05,287,1
High Rise,2021-06-12,2024-09-26,526,0
Residential Care,2021-03-06,2024-10-20,722,0
Hotel & Motel,2024-10-25,2024-06-10,201,0
Hospital,2019-07-12,2024-07-24,916,0
Low Rise,2020-10-01,2024-08-15,183,0
Hospital,2022-04-20,2024-09-08,1601,1
Low Rise,2020-10-13,2024-11-02,1074,0
Group Home,2021-01-12,2024-03-16,176,1
Low Rise,2023-02-27,2024-11-15,157,0
Hospital,2024-02-25,2024-01-18,1671,1
Hospital,2024-06-15,2024-05-26,313,0
Detention,2022-12-28,2024-01-31,1284,1
Low Rise,2024-09-14,2024-04-17,201,0
Nursing Home,2022-01-15,2024-10-12,1314,0
Group Home,2021-03-25,2024-06-12,1337,1
Residential Care,2023-10-29,2024-04-09,1648,1
Hospital,2022-10-18,2024-11-09,1601,1
Low Rise,2020-11-30,2024-06-20,397,0
High Rise,2022-09-03,2024-10-25,1413,1
Residential Care,2019-09-14,2024-04-16,858,1
Nursing Home,2024-06-15,2024-01-23,1192,0
Hospital,2020-08-05,2024-05-18,692,0
Nursing Home,2022-10-04,2024-05-09,1187,1
Group Home,2021-08-28,2024-01-17,997,0
Group Home (VO),2021-11-26,2024-09-25,382,1
Low Rise,2021-08-05,2024-02-04,145,1
Rooming House,2024-09-02,2024-07-05,609,0
Group Home (VO),2024-10-01,2024-06-26,1658,1
Group Home (VO),2020-04-12,2024-01-17,1452,0
Residential Care,2022-03-26,2024-05-13,1307,0
Hotel & Motel,2021-04-06,2024-05-14,1443,0
Low Rise,2023-02-19,2024-10-10,999,1
Rooming House,2020-01-18,2024-01-09,1142,1
Residential Care,2020-03-02,2024-01-18,167,1
Rooming House,2024-08-25,2024-01-25,410,0
Rooming House,2022-11-20,2024-06-02,1195,1
Residential Care,2023-01-13,2024-10-27,364,0
Rooming House,2023-10-14,2024-11-16,1298,1
Rooming House,2023-08-04,2024-07-05,856,1
Hotel & Motel,2019-12-31,2024-08-23,991,0
High Rise,2024-10-03,2024-06-26,1037,0
High Rise,2024-09-03,2024-10-03,570,0
Residential Care,2020-03-24,2024-09-27,1398,0
Hotel & Motel,2021-11-29,2024-04-29,1538,1
Hospital,2020-08-05,2024-08-13,1371,1
Detention,2024-03-22,2024-03-24,1526,0
Group Home,2022-07-25,2024-10-23,1127,0
Hotel & Motel,2023-09-20,2024-09-30,755,0
Group Home,2024-01-09,2024-10-28,1368,0
Group Home,2023-05-12,2024-03-06,1215,0
Hotel & Motel,2021-08-27,2024-02-11,575,0
High Rise,2023-06-10,2024-06-06,411,0
Hotel & Motel,2020-04-27,2024-03-05,355,0
Low Rise,2022-09-29,2024-10-14,107,0
Nursing Home,2020-03-23,2024-01-30,970,0
Group Home (VO),2020-01-03,2024-08-04,421,0
High Rise,2024-02-01,2024-01-03,327,1
Detention,2024-01-09,2024-09-03,1331,1
Hotel & Motel,2021-12-26,2024-08-10,105,1
High Rise,2023-07-22,2024-03-15,1513,1
Hotel & Motel,2021-12-17,2024-10-25,662,1
Nursing Home,2020-09-15,2024-09-17,988,1
Low Rise,2023-12-31,2024-02-25,776,1
Hospital,2023-11-18,2024-10-27,1249,1
Rooming House,2021-03-22,2024-04-18,327,0
Residential Care,2019-07-26,2024-10-07,867,0
Hotel & Motel,2023-06-09,2024-09-20,74,0
High Rise,2020-05-23,2024-06-09,817,1
Hotel & Motel,2022-08-04,2024-10-10,86,1
Hotel & Motel,2022-05-25,2024-08-02,501,1
High Rise,2021-01-19,2024-01-30,99,0
Low Rise,2021-11-06,2024-09-23,113,0
Detention,2019-11-03,2024-07-04,103,0
Nursing Home,2024-11-17,2024-05-26,1163,0
High Rise,2019-10-20,2024-01-25,472,1
Detention,2023-11-14,2024-03-30,763,0
Residential Care,2020-01-21,2024-03-31,1407,0
Group Home,2022-06-28,2024-06-27,1527,0
Group Home,2020-02-23,2024-08-11,573,0
Nursing Home,2022-01-21,2024-02-08,478,0
Detention,2022-12-08,2024-02-01,304,1
Group Home,2022-12-23,2024-10-06,325,1
Group Home (VO),2023-06-19,2024-04-17,1527,1
Low Rise,2023-12-22,2024-11-26,1669,1
Rooming House,2020-01-07,2024-03-06,1349,1
Group Home,2023-04-21,2024-11-03,741,1
Hotel & Motel,2021-12-31,2024-07-29,848,0
Hospital,2023-07-26,2024-10-11,1552,1
Group Home,2021-04-11,2024-03-20,36,0
Residential Care,2022-12-27,2024-11-22,962,0
Hotel & Motel,2020-02-12,2024-03-11,571,0
Nursing Home,2023-05-10,2024-02-15,1118,0
Detention,2023-09-17,2024-10-04,229,1
Nursing Home,2022-02-05,2024-03-13,1418,1
Hotel & Motel,2021-07-02,2024-07-03,386,1
Hotel & Motel,2023-01-05,2024-10-01,1593,0
Low Rise,2020-09-24,2024-01-07,778,1
High Rise,2020-03-20,2024-02-14,920,0
Hotel & Motel,2019-09-02,2024-07-09,934,0
Group Home (VO),2024-11-03,2024-08-27,778,1
High Rise,2022-06-07,2024-01-02,136,1
Low Rise,2021-10-14,2024-07-13,476,0
Group Home (VO),2024-10-13,2024-10-18,76,0
Hospital,2023-01-09,2024-01-25,1441,1
Hospital,2022-03-31,2024-07-08,1546,0
High Rise,2024-04-24,2024-05-03,1403,0
Nursing Home,2019-12-23,2024-11-28,325,0
Nursing Home,2021-04-26,2024-11-03,585,1
Group Home,2021-08-06,2024-03-05,552,1
Residential Care,2021-06-26,2024-04-28,206,0
Residential Care,2020-08-02,2024-03-25,776,1
Group Home,2020-04-14,2024-10-30,519,0
High Rise,2020-07-16,2024-05-10,259,1
Detention,2024-01-02,2024-07-01,1443,1
Detention,2022-03-13,2024-06-25,1483,1
Hospital,2022-10-11,2024-06-04,304,0
Hospital,2020-05-18,2024-11-20,1474,1
Group Home (VO),2020-04-20,2024-04-28,1272,0
Hotel & Motel,2023-10-25,2024-02-20,1189,1
Rooming House,2024-03-02,2024-10-27,1174,1
Residential Care,2019-09-20,2024-09-10,705,1
Hotel & Motel,2022-11-15,2024-09-11,611,0
Hospital,2023-02-01,2024-10-25,1243,1
Rooming House,2024-07-03,2024-02-07,1033,0
Rooming House,2022-04-24,2024-01-15,1406,0
Rooming House,2022-07-08,2024-09-08,1657,0
Detention,2021-08-17,2024-09-21,1253,1
Detention,2024-04-28,2024-06-13,810,1
Hotel & Motel,2022-03-16,2024-06-08,576,1
Nursing Home,2019-12-19,2024-05-10,400,1
Group Home,2022-10-27,2024-06-24,579,1
Hotel & Motel,2021-09-15,2024-08-30,397,1
Group Home (VO),2021-01-25,2024-09-19,645,1
High Rise,2020-10-21,2024-07-29,960,1
High Rise,2022-10-10,2024-09-27,1200,0
Group Home,2024-10-20,2024-01-25,182,0
High Rise,2022-12-02,2024-02-08,1227,0
Low Rise,2024-04-27,2024-09-10,888,0
Group Home,2022-03-08,2024-09-26,1295,0
Residential Care,2022-09-25,2024-09-06,345,1
Low Rise,2024-11-13,2024-09-18,904,1
Rooming House,2024-09-18,2024-09-23,1662,0
Detention,2019-12-18,2024-07-26,480,1
Group Home (VO),2022-12-20,2024-05-05,430,0
Hospital,2020-01-28,2024-03-07,610,1
Rooming House,2024-06-02,2024-10-24,1302,1
High Rise,2019-10-17,2024-03-31,523,1
Hospital,2021-09-02,2024-11-01,119,1
Residential Care,2023-01-24,2024-07-21,1610,1
Group Home (VO),2023-04-21,2024-06-29,1166,1
High Rise,2022-12-10,2024-01-24,1246,1
Hospital,2022-07-25,2024-09-21,630,1
Nursing Home,2020-03-23,2024-05-14,333,0
Low Rise,2020-05-24,2024-05-24,407,1
Residential Care,2023-11-28,2024-03-31,99,0
Group Home,2022-03-15,2024-05-20,1313,1
Group Home,2024-06-20,2024-01-24,419,0
Residential Care,2021-05-02,2024-03-15,949,0
Rooming House,2022-10-25,2024-08-09,196,0
Group Home (VO),2019-09-10,2024-02-25,477,0
Rooming House,2022-08-31,2024-10-29,926,1
Group Home,2020-09-22,2024-01-08,1674,0
Group Home,2019-12-18,2024-04-14,1120,1
Low Rise,2024-09-08,2024-11-25,757,1
Detention,2020-03-28,2024-07-20,1572,0
Group Home,2021-03-01,2024-05-01,1678,0
Group Home (VO),2021-12-20,2024-11-17,1182,1
Nursing Home,2023-06-13,2024-10-23,601,0
Detention,2021-06-17,2024-11-20,966,1
High Rise,2019-08-18,2024-04-14,1320,1
Low Rise,2021-05-30,2024-09-11,1402,1
Detention,2019-10-13,2024-05-13,594,1
Hotel & Motel,2024-06-19,2024-04-03,249,1
Detention,2020-01-06,2024-04-10,1637,0
Detention,2023-03-22,2024-06-02,477,1
Hotel & Motel,2021-09-07,2024-07-24,1068,0
Rooming House,2023-11-13,2024-07-04,843,1
Group Home,2020-07-21,2024-02-19,500,1
Nursing Home,2022-03-28,2024-10-23,1443,0
High Rise,2023-08-28,2024-01-28,303,0
Low Rise,2023-04-11,2024-03-16,1323,0
Group Home,2020-11-02,2024-11-12,1417,0
Rooming House,2024-03-01,2024-08-14,138,1
Low Rise,2021-05-25,2024-06-17,1163,1
Detention,2020-09-11,2024-10-03,791,0
Hospital,2020-06-02,2024-08-04,1648,1
Hospital,2019-12-09,2024-01-08,839,1
Low Rise,2020-01-27,2024-07-13,538,1
Residential Care,2022-07-01,2024-11-03,65,1
Group Home (VO),2023-10-21,2024-02-25,743,0
Low Rise,2023-12-26,2024-11-23,710,0
Group Home (VO),2019-07-28,2024-02-15,513,0
Low Rise,2023-05-20,2024-07-22,291,0
Detention,2020-07-22,2024-05-31,677,0
Group Home (VO),2023-11-29,2024-05-17,281,1
Group Home,2024-04-23,2024-05-29,690,1
High Rise,2023-01-12,2024-03-29,1519,0
Hospital,2021-03-03,2024-02-21,1167,0
Detention,2022-11-04,2024-08-27,1130,1
High Rise,2022-05-15,2024-09-11,70,0
High Rise,2024-03-12,2024-10-29,289,1
Hospital,2022-10-29,2024-11-09,1308,1
Detention,2020-07-17,2024-07-10,1361,1
Rooming House,2022-03-21,2024-03-10,1349,1
Residential Care,2020-01-31,2024-03-18,1307,1
Low Rise,2022-12-21,2024-03-19,1145,1
Hotel & Motel,2023-04-26,2024-09-25,1030,1
Low Rise,2023-01-05,2024-04-25,224,1
Rooming House,2024-11-17,2024-07-11,1561,0
Rooming House,2023-04-20,2024-10-17,1435,0
Nursing Home,2021-08-12,2024-05-19,260,1
Low Rise,2021-01-11,2024-07-09,590,1
Group Home (VO),2021-01-08,2024-05-16,1195,0
Group Home (VO),2024-02-12,2024-05-31,833,1
Residential Care,2021-05-17,2024-06-27,366,0
Detention,2023-10-13,2024-03-12,287,1
Rooming House,2023-01-20,2024-10-10,737,0
Group Home (VO),2021-01-29,2024-01-21,1125,1
High Rise,2024-07-27,2024-10-17,1293,0
Group Home (VO),2020-03-20,2024-08-28,775,0
Rooming House,2022-05-01,2024-03-21,844,1
Group Home (VO),2022-07-29,2024-07-18,1616,0
Group Home (VO),2020-12-28,2024-06-04,764,1
Nursing Home,2021-06-08,2024-07-06,776,1
Low Rise,2024-10-30,2024-11-05,907,0
Rooming House,2021-10-14,2024-07-03,1087,1
Hospital,2023-07-20,2024-03-15,570,0
Nursing Home,2022-08-30,2024-11-04,195,1
Hotel & Motel,2022-03-06,2024-11-11,617,1
Residential Care,2022-02-26,2024-02-01,834,1
Group Home (VO),2019-07-20,2024-05-19,1045,0
Nursing Home,2023-08-28,2024-07-25,969,0
Rooming House,2020-03-13,2024-02-13,85,0
High Rise,2020-04-07,2024-05-24,1241,1
Low Rise,2021-10-01,2024-10-09,1014,0
Rooming House,2021-03-29,2024-04-11,1138,0
High Rise,2021-02-07,2024-09-19,1320,0
Detention,2022-06-09,2024-03-23,1465,0
Detention,2021-03-20,2024-11-17,677,0
Detention,2020-01-06,2024-06-23,834,1
Rooming House,2023-04-03,2024-11-11,915,1
Hospital,2024-03-22,2024-07-24,476,0
Low Rise,2020-01-21,2024-05-18,1338,0
Rooming House,2024-04-06,2024-01-02,1214,1
Nursing Home,2023-02-10,2024-02-19,1571,0
Residential Care,2024-07-20,2024-10-05,1427,0
Low Rise,2022-06-25,2024-03-12,996,1
Detention,2019-11-08,2024-09-18,52,1
Hotel & Motel,2024-09-02,2024-04-04,1652,0
Nursing Home,2022-12-08,2024-03-28,951,0
Group Home (VO),2023-12-03,2024-08-08,1673,1
Group Home (VO),2022-03-11,2024-11-12,1363,0
Residential Care,2021-11-22,2024-02-29,310,1
Nursing Home,2024-05-25,2024-09-25,1286,1
Group Home,2020-02-01,2024-05-31,384,1
Hospital,2023-11-07,2024-10-29,866,0
Hotel & Motel,2020-07-03,2024-03-18,909,1
Nursing Home,2022-02-18,2024-08-29,483,0
Rooming House,2022-10-29,2024-10-26,812,0
Detention,2019-08-19,2024-09-12,119,0
Hospital,2024-07-04,2024-09-29,450,1
Residential Care,2021-01-19,2024-08-21,191,1
Detention,2021-09-19,2024-04-20,1488,0
Low Rise,2023-01-20,2024-07-26,1038,0
Hospital,2024-09-12,2024-02-22,1478,0
High Rise,2021-10-28,2024-03-31,844,1
Low Rise,2021-06-16,2024-02-11,1541,0
High Rise,2021-04-01,2024-09-26,98,0
Detention,2020-11-09,2024-09-20,892,1
Hotel & Motel,2023-05-11,2024-06-02,1086,1
Low Rise,2020-08-28,2024-04-27,320,0
Low Rise,2022-06-06,2024-09-08,602,1
Low Rise,2022-02-16,2024-07-14,122,0
Nursing Home,2024-10-08,2024-10-30,1038,0
Residential Care,2024-09-09,2024-11-10,105,1
Residential Care,2020-06-27,2024-09-11,1525,0
Group Home (VO),2024-06-24,2024-10-06,230,1
Hospital,2023-07-03,2024-04-17,856,1
Group Home,2020-08-28,2024-03-06,848,0
Detention,2021-08-04,2024-05-01,678,0
Rooming House,2024-04-24,2024-08-23,707,1
Detention,2020-08-23,2024-10-04,1660,0
Nursing Home,2021-03-16,2024-10-28,1211,0
Detention,2022-10-29,2024-10-22,1270,0
Hotel & Motel,2019-09-07,2024-03-20,882,0
Residential Care,2022-10-23,2024-06-14,1588,0
Detention,2022-05-13,2024-09-04,949,1
Group Home,2021-09-26,2024-04-13,1523,0
Detention,2020-03-31,2024-09-21,988,0
Hotel & Motel,2021-09-03,2024-07-29,1106,1
Hotel & Motel,2023-06-24,2024-05-26,808,1
Hotel & Motel,2020-01-15,2024-05-11,966,0
Hotel & Motel,2020-12-29,2024-06-16,969,0
Hospital,2024-07-05,2024-11-13,8,0
Nursing Home,2023-03-06,2024-06-29,1432,1
Group Home (VO),2024-07-15,2024-04-21,1555,1
Group Home,2020-05-19,2024-01-29,1086,1
Group Home,2022-12-28,2024-05-16,527,0
Residential Care,2023-12-10,2024-11-23,17,1
Low Rise,2022-08-13,2024-05-05,450,1
Low Rise,2023-09-09,2024-09-06,1428,1
Hotel & Motel,2022-12-28,2024-11-25,202,0
Detention,2021-04-07,2024-08-13,307,1
High Rise,2023-02-22,2024-01-02,1522,1
Residential Care,2021-09-09,2024-07-29,1011,0
Group Home,2021-10-24,2024-05-11,1153,0
Residential Care,2023-07-27,2024-05-16,498,0
High Rise,2022-06-16,2024-10-17,936,1
Low Rise,2020-06-24,2024-06-12,821,0
High Rise,2022-08-25,2024-11-25,1536,0
Residential Care,2020-02-22,2024-06-21,1468,0
Detention,2019-07-10,2024-02-25,571,0
Detention,2022-02-16,2024-05-11,359,0
Hotel & Motel,2022-05-20,2024-08-13,1623,1
Nursing Home,2020-08-05,2024-04-29,1046,0
Group Home,2024-10-09,2024-10-30,1600,0
Low Rise,2021-08-30,2024-08-27,1043,1
Hospital,2023-03-01,2024-05-23,327,1
High Rise,2021-06-18,2024-03-11,1524,1
Hospital,2022-06-03,2024-11-25,375,1
Detention,2023-08-21,2024-05-22,303,0
Detention,2023-09-16,2024-02-24,699,0
Residential Care,2020-10-25,2024-11-16,339,0
Group Home (VO),2021-06-27,2024-04-23,1323,0
Group Home,2020-08-06,2024-10-24,1098,1
Detention,2024-10-28,2024-07-07,323,0
Group Home (VO),2020-01-09,2024-02-10,1126,1
Detention,2020-05-08,2024-03-20,1502,1
Hotel & Motel,2023-06-21,2024-03-29,1373,1
Detention,2021-07-20,2024-11-13,1036,1
Detention,2019-09-27,2024-04-08,1413,1
High Rise,2023-05-15,2024-03-30,890,0
Group Home,2024-04-21,2024-09-29,854,1
Hospital,2023-07-11,2024-05-20,1328,1
Group Home (VO),2019-08-09,2024-04-19,1346,1
Rooming House,2019-07-27,2024-09-30,897,0
Hotel & Motel,2024-04-03,2024-05-14,1406,0
Low Rise,2020-10-22,2024-08-26,1495,0
Nursing Home,2020-04-29,2024-01-14,906,1
Rooming House,2023-04-27,2024-11-07,1215,1
High Rise,2021-08-04,2024-06-30,717,1
Rooming House,2021-07-08,2024-11-13,1634,1
Group Home (VO),2023-02-14,2024-03-31,1266,0
Residential Care,2019-12-01,2024-01-11,1189,1
Low Rise,2024-06-23,2024-07-22,697,0
Residential Care,2022-03-02,2024-07-24,1377,0
Nursing Home,2020-02-23,2024-11-20,758,0
Rooming House,2021-06-11,2024-02-04,638,1
Rooming House,2022-03-24,2024-07-25,890,1
Group Home,2023-01-05,2024-03-07,1209,0
Hospital,2022-09-10,2024-10-03,578,0
Hotel & Motel,2021-08-30,2024-08-17,1283,1
Nursing Home,2022-11-24,2024-02-24,1385,1
Residential Care,2024-08-14,2024-04-16,1127,0
Residential Care,2019-07-13,2024-05-16,839,1
Hotel & Motel,2024-09-14,2024-01-06,171,1
Low Rise,2020-04-23,2024-04-08,1399,0
Hospital,2024-06-29,2024-07-29,863,0
High Rise,2023-07-18,2024-01-15,476,0
Group Home (VO),2020-01-26,2024-06-13,460,1
Nursing Home,2019-10-29,2024-10-09,527,1
Nursing Home,2024-01-31,2024-10-28,1622,1
Group Home,2019-09-19,2024-06-18,1351,0
High Rise,2024-04-10,2024-05-26,961,0
Residential Care,2023-08-23,2024-10-30,852,1
High Rise,2020-01-26,2024-08-04,478,1
Low Rise,2021-05-23,2024-08-14,1033,0
Low Rise,2022-02-14,2024-05-22,195,0
Group Home,2023-04-16,2024-05-07,375,0
Rooming House,2022-04-20,2024-01-19,709,0
High Rise,2021-08-19,2024-04-03,1144,1
Group Home (VO),2021-06-16,2024-04-28,1497,1
Nursing Home,2024-11-15,2024-05-13,949,0
Nursing Home,2019-10-23,2024-01-03,1632,1
Low Rise,2021-07-12,2024-06-16,550,0
Hotel & Motel,2024-08-20,2024-05-01,753,0
Hotel & Motel,2024-03-24,2024-10-10,13,1
High Rise,2021-11-22,2024-06-11,893,1
High Rise,2020-11-01,2024-05-12,1356,0
Group Home,2021-12-12,2024-07-16,1079,1
High Rise,2019-09-21,2024-01-08,1618,0
Group Home (VO),2021-09-08,2024-01-26,788,1
Low Rise,2020-06-25,2024-11-27,1404,0
Detention,2024-03-08,2024-04-29,565,1
